ID,Diet group,Cage
C59.1,CHOW,59
C59.2,CHOW,59
C59.3,CHOW,59
C61.1,CHOW,61
C61.2,CHOW,61
C61.3,CHOW,61
C62.1,CHOW,62
C62.2,CHOW,62
C62.3,CHOW,62
HF58.1,HFD,58
HF58.2,HFD,58
HF58.3,HFD,58
HF65.1,HFD,65
HF65.2,HFD,65
HF65.3,HFD,65
HF67.1,HFD,67
HF67.2,HFD,67
HF67.3,HFD,67
HFHS56.1,HFHSD,56
HFHS56.2,HFHSD,56
HFHS56.3,HFHSD,56
HFHS57.1,HFHSD,57
HFHS57.3,HFHSD,57
HFHS66.1,HFHSD,66
HFHS66.2,HFHSD,66
HFHS66.3,HFHSD,66
HS60.1,HSD,60
HS60.2,HSD,60
HS60.3,HSD,60
HS63.1,HSD,63
HS63.2,HSD,63
HS63.3,HSD,63
HS64.1,HSD,64
HS64.2,HSD,64
HS64.3,HSD,64
