 id , diet , eject_frac , ivrt ,mitral_e_veloc,mitral_a_veloc,ea_ratio, decel_time ,mitral_ee_veloc, frac_short , e' 
C59.1,CHOW,64.68158,17.5,501.766095,303.680482,1.652283,11.851852,28.364557,26.080174,-17.689897
C59.2,CHOW,47.169579,,,,,,,13.078775,
C59.3,CHOW,31.473089,,295.163681,264.298392,1.116782,18.083333,11.26039,12.222004,-26.212563
C61.1,CHOW,65.539359,16.111111,655.489345,409.726437,1.599822,21.481481,51.200205,18.604943,-12.802475
C61.2,CHOW,42.81604,18.425926,446.720385,408.978604,1.092283,20.833333,24.404168,14.616175,-18.305086
C61.3,CHOW,38.803325,19.814815,507.302365,376.441518,1.347626,16.944444,32.561336,20.686598,-15.5799
C62.1,CHOW,46.540757,14,554.81302,209.778414,2.644757,14.25,29.064185,21.604041,-19.089234
C62.2,CHOW,73.901196,,803.585914,635.336253,1.26482,30.648148,,36.619371,
C62.3,CHOW,43.212322,16.018519,597.272617,506.809927,1.178494,19.259259,40.054657,8.723389,-14.91144
HF58.1,HFD,59.602107,,,,,,,28.698982,-23.276184
HF58.2,HFD,53.536399,,244.035502,163.330417,1.494122,14.537037,15.663487,25.688432,-15.579896
HF58.3,HFD,65.785747,19.0625,331.830038,273.102285,1.215039,19.074074,10.332176,20.360123,-32.116182
HF65.1,HFD,58.960064,,236.735483,277.367961,0.853507,17.5,31.108551,17.788569,-7.609981
HF65.2,HFD,43.611659,17.291667,406.936091,268.323938,1.516585,28.333333,54.206519,21.012158,-7.507143
HF65.3,HFD,28.842823,17.12963,455.608677,352.967497,1.290795,21.916667,36.314513,6.521979,-12.546187
HF67.1,HFD,79.299124,,248.444118,,,27.777778,,28.011723,
HF67.2,HFD,55.458773,23.796296,236.872211,190.083314,1.246149,20.462963,13.559163,18.537488,-17.46953
HF67.3,HFD,54.172731,,215.694009,87.777037,2.457294,13.333333,7.974998,17.851621,-27.046276
HS60.1,HSD,55.728877,19.6875,411.823903,239.014713,1.723006,26.296296,47.0853,13.924329,-8.746337
HS60.2,HSD,73.357544,,,,,,,19.571717,-25.236478
HS60.3,HSD,55.21169,15.138889,609.200099,423.168095,1.439617,20.972222,51.068156,25.557838,-11.929158
HS63.1,HSD,57.19171,13.958333,472.154806,291.924258,1.617388,15.166667,47.180652,12.700933,-10.007382
HS63.2,HSD,78.349993,12.592593,1050.807696,,,26.203704,49.482486,27.33205,-21.235952
HS63.3,HSD,74.554853,16.666667,606.46454,549.560569,1.103544,15.606061,61.111962,17.687108,-9.923827
HS64.1,HSD,62.828339,16.388889,554.594218,103.46662,5.360127,13.333333,26.870522,9.348302,-20.639503
HS64.2,HSD,64.116667,,,,,,,26.194587,-12.289086
HS64.3,HSD,57.650615,14.479167,544.417189,302.757968,1.798193,18.5,53.718448,22.028202,-10.134641
HFHS56.1,HFHSD,43.468071,24.814815,182.038951,256.737031,0.709048,9.62963,15.65967,10.045747,-11.624699
HFHS56.2,HFHSD,64.0022,23.333333,283.31593,283.680699,0.998714,18.148148,29.467831,11.890983,-9.614414
HFHS56.3,HFHSD,44.928944,,261.895023,243.188236,1.076923,13.666667,13.475374,12.446068,-19.435084
HFHS57.1,HFHSD,54.957894,22.777778,136.013117,244.987755,0.555183,9.814815,,21.810387,
HFHS57.3,HFHSD,22.859305,24.166667,247.353025,227.096006,1.0892,14.242424,24.819005,12.313988,-9.966275
HFHS66.1,HFHSD,64.114028,,363.03209,268.404167,1.352558,12.916667,23.933227,19.680267,-15.168539
HFHS66.2,HFHSD,64.999541,25.75,394.248635,236.444723,1.667403,12.19697,24.111337,23.659715,-16.351173
HFHS66.3,HFHSD,50.292492,19.259259,470.295014,190.513786,2.468562,10.740741,25.28017,7.089254,-18.603317
