"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","nicotinamide.adenine.dinucleotide..NADneg.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Nicotinamide.adenine.dinucleotide.phosphate..NADPneg621.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN.","Nicotinamide.riboside..NR."
"C59.1",26.9030518359975,27.526999035045,25.1179166140001,22.9755757110394,25.233055929485,24.5694483531756,20.0114397397049,25.5435328452647,29.2112462706759,20.3498416513186,22.1773805424951,25.8566844614591,19.9218001792207,25.8043105088888,17.1643929222432,19.7738384706851,22.5613864874436,16.5069642797171
"C59.2",25.4984120579489,24.9337431079109,23.5519238517093,21.2525644742017,23.1429153348998,23.9812394802129,17.9484539283393,25.7512563832907,29.4177662674804,20.4701644611671,22.2334382298781,25.8833721771376,19.9476307185599,23.2398657086206,16.6926431999652,19.9760767101268,21.5991949922695,17.5225045951094
"C59.3",26.0732838434988,24.4629363168124,24.4438102489619,22.3249973228417,24.5127761427692,23.9504929212555,19.7979338719575,25.5517102789596,29.2229153285657,20.526776423464,22.1150125812578,25.568267842272,19.9255846172809,25.4816436037148,16.4980732779256,19.8793250272044,21.5294510926992,16.8378524904409
"C61.1",26.9268616127362,26.2967002818009,25.1391174810783,21.5088915042145,23.6932218783337,24.4155324887471,19.9510151331761,25.4610536403607,29.1675015730291,20.0686033690052,22.2658264372628,25.375423977421,20.0096076075798,25.9513723744679,16.8566495954982,19.9194024864231,22.0164133011344,16.9224310954245
"C61.2",27.438067559933,23.0210279033208,25.6758789439686,21.0042697910573,23.0884519823406,24.0657572462541,19.2177611176633,25.3176431589308,29.0293726621152,20.0905741904393,22.0804241960854,24.9546041217447,19.8661882597853,25.5552283263913,16.4916124703365,20.0004377240133,21.3453440613141,17.191173172657
"C61.3",24.8772882460603,25.327909156159,22.9338396404269,21.3807783820791,23.5419929766732,24.0651550757331,18.7911606257446,25.478257149596,29.2233816311617,20.3107676463337,21.8971251738064,25.492352139207,19.6356603728618,23.5112967158553,16.5001539137606,19.896635254874,21.7066794599359,16.8963826880867
"C62.1",26.2126317764081,24.3389686088353,24.1501095612639,20.9599081960351,23.0008054085289,23.9557509441211,18.2468981335949,25.537475811318,29.2179358507964,20.3445041111744,21.9782451424108,25.3948068443222,19.7397421541996,23.8992473703168,16.6229613924643,19.9297613431307,21.5848213539752,17.0606238257407
"C62.3",26.6366763003898,25.0029313238396,24.5540921825067,21.1926274637282,23.3467288110846,24.2994249790111,19.1634994468381,25.6046386256162,29.1677768583835,20.2995921714816,22.3325988310949,25.2487163802038,20.0255494175733,25.1079432497954,16.8912828432374,19.9589594879663,21.820275636249,18.2923700161253
"HF58.1",26.3291761154525,25.0966795150837,24.375007109841,23.5109238772177,25.9059487511173,23.9154989914758,19.5073668819559,25.2391012805368,28.9769785805327,19.9161199189732,21.8576169643325,25.3152933895808,19.6378347282224,25.1510658356705,16.8071686715528,19.7960056340015,22.1619228198798,17.0161210784236
"HF58.2",26.4220590015302,26.8934928667804,24.6618661263352,22.0419899255376,24.1904214012618,24.2094889470655,19.705750621528,25.441452201749,29.1376719118099,20.2813205445445,22.1715925989669,25.2852328328842,19.864547105086,25.5480888125861,16.9250485083878,19.8493053109923,22.2834857776603,17.6616779588526
