"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","Nicotinamide.adenine.dinucleotide..NADH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP..","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN.","Nicotinamide.riboside..NR."
"C59.1",28.487471241001,21.0890812390343,26.5287146654964,23.3271093518861,25.8251697322361,24.8816770947491,22.3474136559261,25.5077655313862,29.277216442358,22.9489765452272,23.4206983994896,19.0641531706558,18.0172377198169,28.2021156980252,20.2996041483035,19.5069711987329,22.9029783878943,19.1101179549018
"C59.2",28.4742812186602,22.0788401662056,26.4895752437873,22.8918982089053,25.3985955584122,24.2237757544807,22.118290041171,25.3080415911011,29.0967339229369,23.3057664930954,24.2858136178179,19.5227404908233,18.5931435430591,27.8990039739736,20.458876192961,19.3091275595185,23.2541429861171,19.1919579007465
"C61.1",28.3995634019096,22.4514046214067,26.570935951558,21.9464434194531,24.2108258704719,24.5905782490972,21.8438182789765,25.000189965557,28.8179653927153,22.3762913781917,23.5038969302725,19.2829888463255,17.8688943584043,27.8166114342569,19.5518364610256,19.181822615934,22.1150174966901,18.9563480555507
"C61.2",28.5969257928125,22.7545698929024,26.5194067809365,23.0002855660205,25.5976892250743,24.3178844292952,22.2061571508655,25.2143297855246,28.940460118582,22.7378678115027,24.1675157852309,19.5130308738811,18.4883059294243,28.0460776227266,19.8012088737741,19.1481912173171,22.3221398970696,18.782282878638
"C61.3",28.1824212645041,22.4975694840172,26.2490318749292,21.8223217782249,23.9537955723154,24.4431901982775,21.7556761236616,25.0841954461759,28.7955997479668,22.7343241000715,23.4752152408646,19.6193129040015,17.9471554751258,27.6550967089728,19.3476593858001,18.8208140447324,22.049000116276,18.5984942416271
"C62.1",28.3330554454405,23.7006777742756,26.4291700567126,22.1112000009822,24.2566284340894,23.9826860476269,21.2621467867278,25.2400524389671,29.076199022685,22.9546817007314,23.8764946858195,20.1285496063112,18.4050405404921,27.1552218363705,19.9137629952097,19.175117112595,22.6117564108047,19.3794376179609
"C62.2",28.5400894161604,20.3091233192958,26.5291015610616,21.2121148782823,23.3980429727455,23.8842473553551,20.8576568767299,25.0058340172897,28.7695550390364,22.6994135893798,24.0661037473053,19.2766975610696,18.6648578444655,26.808586223161,19.548725213752,18.98439404749,22.3598573038753,19.6345766341285
"C62.3",28.199763175598,21.2661600504191,26.2930348281951,22.0137787104472,24.2698885972633,25.4810905283614,21.4548951285408,24.96690127946,28.799865615931,22.6835743681137,23.6684288090594,19.1435059819094,17.9456491681227,27.3833476143104,19.7790466352063,19.0203438837048,22.5174541129608,19.5410227786644
"HF58.1",28.5424640403645,21.1962621534399,26.5016122167531,23.3102923991011,25.5173183191569,24.4893657136309,21.743689713701,24.8738157539026,28.7404372488159,22.126870011979,23.6145242214203,18.8034708261412,18.045685090683,27.6168857474281,20.0941321676934,19.2494041762165,22.3629908182598,18.8479676798729
"HF58.2",28.3478805225574,22.6055670707485,26.2715731010424,22.8327411667502,25.3476856021927,24.4730147104934,22.1202515887836,24.2790138621583,28.1013404507142,22.0335406659839,23.4807655105691,18.8340149571162,17.9308516500514,27.9663102037018,19.5383982053141,19.0180651783454,21.848444981677,19.4949816910755
