ID/Time (weeks),0,15,30,45,60,90
C59.1,11.3,18.6,18.1,14.9,16.1,12.5
C59.2,12.8,20.4,16.1,13.9,13.4,12.9
C59.3,10.8,20.3,20.2,18.4,17.1,12.8
C61.1,10.1,20.1,14.6,13,12.3,10.8
C61.2,9.8,20.2,13.4,12.2,10.4,9
C61.3,10.2,16.5,9.5,9.8,9.3,8.3
C62.1,8.9,20.7,18.6,13.9,13.3,11.3
C62.2,10,19.6,15.2,12.3,12,10.2
C62.3,8.6,19.9,12.5,10.5,10.4,9.8
HF58.1,11.7,16.4,16.3,14,13.4,12.8
HF58.2,8.6,18.5,14.2,11.6,10.9,10
HF58.3,12.1,18.1,17.9,15.7,12.3,10.8
HF65.1,13.3,18.8,11.7,12.9,12,9.4
HF65.2,14.1,23.6,24.4,20.8,17.5,12.9
HF65.3,12.8,18.8,20.1,16.3,18,13.7
HF67.1,11.6,23.6,22.3,18.7,16.7,12.2
HF67.2,11.5,16.3,23.1,14,13.5,12.3
HF67.3,11.5,21.6,21.3,17,16.6,12.7
HFHS56.1,14.5,23.6,20,23,17,12.3
HFHS56.2,12,17.9,14,13.5,11.3,9.9
HFHS56.3,11.7,25.3,17.6,16.3,16.3,13.5
HFHS57.1,13.2,27.1,32.3,24.1,24,19
HFHS57.3,10.6,20.1,15.2,12.2,13.8,11.3
HFHS66.1,11.8,19.5,14.9,11.8,11.4,10.8
HFHS66.2,11.3,19,14.7,12.9,12.2,12.9
HFHS66.3,12.8,17.2,14,14.8,13.2,10.3
HS60.1,9.3,20.5,14.8,12.9,12,10.4
HS60.2,8.9,18.9,17.1,12.7,11.3,10.8
HS60.3,9.5,17.5,15.5,14.2,11.2,9.6
HS63.1,9.7,21.4,18,14.8,12.8,8.7
HS63.2,7,18.5,10.3,8.2,6.7,5.9
HS63.3,8,11.1,11.4,9,8.4,6.5
HS64.1,11.6,16,16.4,14.3,15.8,12.5
HS64.2,8.5,15.9,15.9,14.2,15.2,11.9
HS64.3,9.9,20.3,16.9,14.3,12.4,11.3
