ID/Time (weeks),tibial length
C59.1,20.07
C59.2,19.41
C59.3,19.61
C61.1,18.26
C61.2,18.03
C61.3,18.2
C62.1,19.16
C62.2,18.71
C62.3,18.62
HF58.1,18.44
HF58.2,17.92
HF58.3,18.85
HF65.1,18.94
HF65.2,18.82
HF65.3,18.76
HF67.1,19.36
HF67.2,19.48
HF67.3,18.34
HFHS56.1,18.7
HFHS56.2,18.99
HFHS56.3,18.92
HFHS57.1,19
HFHS57.3,19.65
HFHS66.1,18.59
HFHS66.2,18.97
HFHS66.3,18.52
HS60.1,19.98
HS60.2,18.85
HS60.3,18.29
HS63.1,18.34
HS63.2,18.91
HS63.3,18.89
HS64.1,18.44
HS64.2,17.92
HS64.3,18.85
