ID/Time (weeks),wet/dry
C59.1,2.116568915
C59.2,3.831858407
C59.3,3.769396552
C61.1,3.895348837
C61.2,3.865
C61.3,4.116049383
C62.1,3.879271071
C62.2,3.79245283
C62.3,4.064102564
HF58.1,3.045977011
HF58.2,2.900229358
HF58.3,3.232114467
HF65.1,3.743405276
HF65.2,3.704805492
HF65.3,3.631205674
HF67.1,4.212121212
HF67.2,3.456140351
HF67.3,3.301886792
HFHS56.1,3.352201258
HFHS56.2,3.51888668
HFHS56.3,3.694974003
HFHS57.1,3.444230769
HFHS57.3,4.06772009
HFHS66.1,3.562628337
HFHS66.2,3.896551724
HFHS66.3,3.004143646
HS60.1,4.293333333
HS60.2,3.939130435
HS60.3,3.851598174
HS63.1,3.747126437
HS63.2,4.378190255
HS63.3,3.762711864
HS64.1,3.354211663
HS64.2,4.0554371
HS64.3,3.788288288
