"id","GT.acetic.acid","GT.butyric.acid","GT.Caproic.acid","GT.propionic.acid","GT.valeric.acid"
"C59.1",29.6619320946447,28.254250223264,20.3894288121512,24.322340179155,16.9066273473542
"C59.2",29.644839558746,28.1618531601124,20.397044061367,24.3961977158871,16.582098132013
"C59.3",29.6472539425705,28.2645472725048,20.3117646676072,24.5372975354013,17.4850785789711
"C61.1",29.5559206517356,28.0698933289898,20.1432603123466,24.2811358428234,17.113613545334
"C61.2",29.7300806372181,28.0727582497072,20.0461605565971,24.2247919834436,17.2981426379176
"C61.3",29.6575823751931,28.1270240226192,19.9588884434153,24.2688208655963,17.3108855013332
"C62.1",29.6685771420712,28.1666702400958,19.793496323837,24.2094342454084,17.3320736530353
"C62.2",29.7158587092445,28.2356521572813,20.1930247785831,24.4415267615761,17.5519966814468
"C62.3",29.7083382392308,28.2290318463574,20.4699305095643,24.4015110434365,17.4054342994086
"HF58.1",29.7180969531659,28.2953768517466,20.1453451911291,24.3707007438728,17.1075840540875
"HF58.2",29.6898836648326,28.1535027732693,20.0900175345166,24.3221335649143,17.577419098211
"HF58.3",29.6777942948557,28.3511091653283,20.4045538057652,24.4071418563515,17.5554996225198
"HF65.1",29.7580522793732,28.3555212051851,20.1843730883744,24.4685187559506,16.9824176785689
"HF65.2",29.6224201476487,27.8542667079743,20.0573874731718,23.9528254155953,18.2086881021605
"HF65.3",29.6372130091079,27.9590151883724,20.1824466768352,24.1952538521158,17.2728793943337
"HF67.1",29.6473638980491,28.3437940026163,20.2676561964447,24.3273815282507,16.9372962016909
"HF67.2",29.6468033481262,28.307951552431,20.1194586647245,24.4911281200503,17.4567853761465
"HF67.3",29.6459466085915,28.0565015411781,20.7714650520014,24.2120664621394,17.6582672741226
"HFHS56.1",29.6970027505798,28.006912504565,19.9253615854135,24.0609420942908,18.0336112282805
"HFHS56.2",29.7332590009901,27.9951969564402,20.1620714865251,24.136913650098,17.6248442160418
"HFHS56.3",29.7703881097043,28.3313999093095,20.3739830572492,24.3729976612528,18.0415565762664
"HFHS57.1",29.6866850553296,28.2070334191206,20.0074364091774,24.2625278003848,17.7773308588937
"HFHS57.3",29.6474691863743,28.3380714409364,20.4726966079118,24.4075129652666,17.2922362989116
"HFHS66.1",29.6837960029051,28.1037979488953,20.6403078592291,24.5112716131209,17.6427858538181
"HFHS66.2",29.6514119431845,27.9832610044967,19.874632466258,24.1642277495937,17.0652599862321
"HFHS66.3",29.7512125468388,28.3823730608102,20.4241572471094,24.4950276446999,17.0560785554601
"HS60.1",29.6613829539373,28.2381006070618,20.063248435382,24.336387805378,17.6845932923977
"HS60.2",29.6880790890286,28.4298799446528,20.2969794711127,24.4355050560182,17.6559964836203
"HS60.3",29.6549225855363,28.2367477677787,20.4942512762037,24.4183386769681,17.6419527260042
"HS63.1",29.7015673800047,28.0410754282499,19.6446358764027,24.0705833936519,17.6996511736343
"HS63.2",29.6319571908215,28.1976464416487,20.2574958520869,24.3382365255234,17.58866781344
"HS63.3",29.6595580806046,28.1642744725823,19.8670765386777,24.4090577737073,17.230872175476
"HS64.1",29.6685765473608,28.2362511975912,20.1315575886175,24.326863606862,17.4998144848925
"HS64.2",29.6954108595029,27.9268372282904,20.0246926272075,24.1694967788704,17.261688497093
"HS64.3",29.6543447262532,27.9900497729977,19.9226784524317,24.1285512836503,17.5224551386041
